COUNT,NAME
6,Book
2,Business
1,Catalogs
5,Education
14,Entertainment
3,Finance
2,Food
150,Games
12,Health
4,Lifestyle
2,Medical
1,News
21,Photo
1,prime_genre
4,Productivity
12,Shopping
4,Social
1,Sports
4,Travel
7,Utilities
